Order,MS Zoning,Year Built,Overall Qual,Overall Cond,Lot Area,Garage Area,Pool Area,Bedroom AbvGr,Full Bath,TotRms AbvGrd,SalePrice
1,RL,1960.0,6.0,5,31770,528.0,0,3,1.0,7,215000
2,RH,1961.0,5.0,6,11622,730.0,0,2,1.0,5,105000
3,RL,1958.0,6.0,6,14267,312.0,0,3,1.0,6,172000
4,RL,1968.0,7.0,5,11160,522.0,0,3,2.0,8,244000
5,RL,1997.0,5.0,5,13830,482.0,0,3,2.0,6,189900
6,RL,1998.0,6.0,6,9978,470.0,0,3,2.0,7,195500
7,RL,2001.0,8.0,5,4920,582.0,0,2,2.0,6,213500
8,RL,,8.0,5,5005,506.0,0,2,2.0,5,191500
9,RL,1995.0,8.0,5,5389,608.0,0,2,,5,236500
10,RL,1999.0,7.0,5,7500,442.0,0,3,2.0,7,189000
11,RL,1993.0,6.0,5,10000,440.0,0,3,2.0,7,175900
12,RL,1992.0,6.0,7,7980,420.0,0,3,2.0,6,185000
13,RL,1998.0,6.0,5,8402,393.0,0,3,,7,180400
14,RL,1990.0,7.0,5,10176,506.0,0,2,1.0,5,171500
15,RL,1985.0,8.0,5,6820,528.0,0,1,1.0,4,212000
16,RL,2003.0,8.0,5,53504,841.0,0,4,3.0,12,538000
17,RL,1988.0,8.0,7,12134,492.0,0,4,,8,164000
18,RL,,9.0,2,11394,834.0,0,1,1.0,8,394432
19,RL,1951.0,,5,19138,400.0,0,2,1.0,4,141000
20,RL,1978.0,6.0,6,13175,500.0,0,3,,7,210000
21,RL,1977.0,6.0,6,11751,546.0,0,3,2.0,7,190000
22,RL,1974.0,7.0,6,10625,528.0,0,3,2.0,6,170000
23,FV,2000.0,7.0,5,7500,663.0,0,3,2.0,7,216000
24,RL,1970.0,6.0,7,11241,480.0,0,2,1.0,5,149000
25,RL,1971.0,5.0,6,12537,500.0,0,3,1.0,6,149900
26,RL,,5.0,6,8450,304.0,0,3,1.0,6,142000
27,RL,1970.0,,5,8400,525.0,0,2,,4,126000
28,RL,1971.0,4.0,5,10500,0.0,0,3,1.0,5,115000
29,RH,1999.0,7.0,5,5858,511.0,0,2,2.0,5,184000
30,RM,1971.0,6.0,5,1680,264.0,0,2,1.0,5,96000
31,RM,1971.0,5.0,5,1680,320.0,0,3,1.0,6,105500
32,RM,,6.0,5,1680,264.0,0,3,1.0,6,88000
33,RL,1977.0,6.0,5,4043,440.0,0,2,2.0,4,127500
34,RL,1975.0,6.0,6,2280,440.0,0,3,2.0,6,149900
35,RL,1975.0,7.0,6,2280,308.0,0,2,1.0,4,120000
36,RL,1978.0,6.0,5,2280,440.0,0,3,2.0,7,146000
37,RL,2009.0,9.0,5,12858,751.0,0,3,2.0,10,376162
38,RL,2007.0,8.0,5,11478,772.0,0,3,2.0,7,306000
39,RL,2009.0,9.0,5,10159,606.0,0,3,2.0,8,395192
40,RL,2009.0,8.0,5,12883,868.0,0,3,2.0,7,290941
41,RL,2005.0,7.0,5,12182,532.0,0,3,2.0,7,220000
42,RL,2005.0,9.0,5,11520,730.0,0,3,2.0,7,275000
43,RL,2005.0,8.0,5,14122,678.0,0,3,2.0,8,259000
44,RL,2004.0,7.0,5,10171,532.0,0,3,,7,214000
45,RL,2009.0,9.0,5,12919,820.0,0,2,2.0,11,611657
46,RL,2009.0,7.0,5,6371,484.0,0,2,2.0,6,224000
47,RL,2003.0,9.0,5,14300,958.0,0,3,2.0,10,500000
48,RL,2002.0,8.0,5,13650,756.0,0,3,2.0,7,320000
49,RL,2005.0,9.0,5,7658,576.0,0,2,2.0,6,319900
50,RL,2006.0,8.0,5,7132,484.0,0,2,2.0,6,205000
51,RL,2003.0,7.0,5,2628,474.0,0,2,2.0,6,175500
52,RL,2005.0,6.0,5,18494,430.0,0,3,2.0,6,199500
53,RL,2006.0,7.0,5,3203,437.0,0,2,2.0,6,160000
54,RL,2004.0,8.0,5,3182,430.0,0,2,2.0,6,192000
55,RL,2004.0,7.0,5,13300,400.0,0,3,2.0,7,184500
56,RL,2002.0,6.0,5,7851,440.0,0,4,2.0,8,216500
57,RL,,7.0,5,8577,433.0,0,3,2.0,7,185088
58,RL,2000.0,7.0,5,7750,400.0,0,3,2.0,7,180000
59,RL,2001.0,7.0,5,9505,434.0,0,3,2.0,8,222500
60,RL,1999.0,9.0,5,14774,779.0,0,4,2.0,10,333168
61,RL,1998.0,8.0,5,17433,962.0,0,4,2.0,7,355000
62,RL,1996.0,7.0,5,10593,527.0,0,3,2.0,7,260400
63,RL,1994.0,8.0,5,12256,712.0,0,3,2.0,9,325000
64,RL,1999.0,8.0,7,11764,671.0,0,4,2.0,9,290000
65,RL,1998.0,7.0,5,16770,486.0,0,4,2.0,7,221000
66,RL,1995.0,8.0,5,14720,666.0,0,4,2.0,9,410000
67,RL,2005.0,8.0,5,8987,880.0,0,2,2.0,6,221500
68,FV,2009.0,7.0,5,9215,676.0,0,2,2.0,4,204500
69,FV,2009.0,7.0,5,8640,614.0,0,3,2.0,7,215200
70,FV,2008.0,8.0,5,9000,750.0,0,3,2.0,7,262500
