MS Zoning,Year Built,Overall Qual,Overall Cond,Lot Area,Garage Area,Pool Area,Bedroom AbvGr,Full Bath,TotRms AbvGrd,SalePrice
RL,1960.0,6.0,5,31770,528.0,0,3,1.0,7,215000
RH,1961.0,5.0,6,11622,730.0,0,2,,5,105000
RL,1958.0,6.0,6,14267,312.0,0,3,1.0,6,172000
RL,1968.0,7.0,5,11160,522.0,0,3,,8,244000
RL,1997.0,5.0,5,13830,482.0,0,3,2.0,6,189900
RL,1998.0,,6,9978,470.0,0,3,2.0,7,195500
RL,2001.0,8.0,5,4920,582.0,0,2,2.0,6,213500
RL,1992.0,8.0,5,5005,506.0,0,2,2.0,5,191500
RL,1995.0,8.0,5,5389,608.0,0,2,2.0,5,236500
RL,1999.0,7.0,5,7500,442.0,0,3,2.0,7,189000
RL,1993.0,6.0,5,10000,440.0,0,3,2.0,7,175900
RL,1992.0,6.0,7,7980,420.0,0,3,2.0,6,185000
RL,1998.0,6.0,5,8402,393.0,0,3,2.0,7,180400
RL,1990.0,7.0,5,10176,506.0,0,2,1.0,5,171500
RL,1985.0,8.0,5,6820,528.0,0,1,,4,212000
RL,,8.0,5,53504,841.0,0,4,3.0,12,538000
RL,,8.0,7,12134,492.0,0,4,2.0,8,164000
RL,2010.0,9.0,2,11394,834.0,0,1,,8,394432
RL,1951.0,4.0,5,19138,400.0,0,2,1.0,4,141000
RL,,6.0,6,13175,500.0,0,3,,7,210000
RL,,6.0,6,11751,546.0,0,3,2.0,7,190000
RL,,7.0,6,10625,528.0,0,3,2.0,6,170000
FV,2000.0,7.0,5,7500,663.0,0,3,2.0,7,216000
RL,1970.0,6.0,7,11241,480.0,0,2,1.0,5,149000
RL,1971.0,5.0,6,12537,500.0,0,3,,6,149900
RL,1968.0,,6,8450,304.0,0,3,1.0,6,142000
RL,1970.0,,5,8400,525.0,0,2,1.0,4,126000
RL,1971.0,4.0,5,10500,0.0,0,3,1.0,5,115000
RH,1999.0,7.0,5,5858,511.0,0,2,,5,184000
RM,1971.0,6.0,5,1680,264.0,0,2,1.0,5,96000
RM,1971.0,5.0,5,1680,320.0,0,3,1.0,6,105500
RM,1971.0,6.0,5,1680,264.0,0,3,,6,88000
RL,1977.0,6.0,5,4043,440.0,0,2,,4,127500
RL,1975.0,6.0,6,2280,440.0,0,3,2.0,6,149900
RL,1975.0,7.0,6,2280,308.0,0,2,1.0,4,120000
RL,1978.0,6.0,5,2280,440.0,0,3,,7,146000
RL,2009.0,9.0,5,12858,751.0,0,3,2.0,10,376162
RL,2007.0,8.0,5,11478,772.0,0,3,2.0,7,306000
RL,2009.0,9.0,5,10159,606.0,0,3,2.0,8,395192
RL,,8.0,5,12883,868.0,0,3,2.0,7,290941
RL,,7.0,5,12182,532.0,0,3,,7,220000
RL,2005.0,9.0,5,11520,730.0,0,3,2.0,7,275000
RL,2005.0,8.0,5,14122,678.0,0,3,2.0,8,259000
RL,2004.0,7.0,5,10171,532.0,0,3,2.0,7,214000
RL,2009.0,9.0,5,12919,820.0,0,2,2.0,11,611657
RL,2009.0,7.0,5,6371,484.0,0,2,2.0,6,224000
RL,,9.0,5,14300,958.0,0,3,,10,500000
RL,,8.0,5,13650,756.0,0,3,2.0,7,320000
RL,2005.0,9.0,5,7658,576.0,0,2,2.0,6,319900
RL,2006.0,8.0,5,7132,484.0,0,2,,6,205000
RL,,,5,2628,474.0,0,2,,6,175500
RL,,6.0,5,18494,430.0,0,3,2.0,6,199500
RL,2006.0,7.0,5,3203,437.0,0,2,2.0,6,160000
RL,2004.0,8.0,5,3182,430.0,0,2,2.0,6,192000
RL,2004.0,7.0,5,13300,400.0,0,3,,7,184500
RL,2002.0,6.0,5,7851,440.0,0,4,2.0,8,216500
RL,,7.0,5,8577,433.0,0,3,2.0,7,185088
RL,2000.0,7.0,5,7750,400.0,0,3,2.0,7,180000
RL,2001.0,,5,9505,434.0,0,3,2.0,8,222500
RL,1999.0,9.0,5,14774,779.0,0,4,2.0,10,333168
RL,1998.0,8.0,5,17433,962.0,0,4,2.0,7,355000
RL,1996.0,,5,10593,527.0,0,3,2.0,7,260400
RL,1994.0,8.0,5,12256,712.0,0,3,2.0,9,325000
RL,1999.0,8.0,7,11764,671.0,0,4,2.0,9,290000
RL,,7.0,5,16770,486.0,0,4,2.0,7,221000
RL,,8.0,5,14720,666.0,0,4,2.0,9,410000
RL,2005.0,8.0,5,8987,880.0,0,2,2.0,6,221500
FV,2009.0,7.0,5,9215,676.0,0,2,2.0,4,204500
FV,2009.0,7.0,5,8640,614.0,0,3,2.0,7,215200
FV,,8.0,5,9000,750.0,0,3,2.0,7,262500
FV,2004.0,7.0,5,12552,678.0,0,3,2.0,8,254900
FV,2005.0,6.0,5,10440,528.0,0,2,2.0,6,271500
RL,2004.0,7.0,5,10142,618.0,0,4,2.0,8,233000
RL,2004.0,7.0,5,11920,484.0,0,3,,8,181000
RL,,7.0,5,8880,463.0,0,3,2.0,8,205000
RL,1980.0,6.0,5,8012,264.0,0,2,2.0,5,143000
RL,1992.0,6.0,5,11218,462.0,0,3,,8,189000
RL,1979.0,6.0,5,7892,264.0,0,2,2.0,5,99500
RL,1984.0,6.0,5,7175,264.0,0,2,1.0,4,125000
RL,1993.0,7.0,7,9453,457.0,0,3,2.0,7,194500
RL,1984.0,6.0,5,9672,480.0,0,3,2.0,6,152000
RL,1980.0,6.0,6,8400,476.0,0,3,2.0,7,171000
RH,1920.0,5.0,5,9800,429.0,0,2,1.0,5,67500
RM,1978.0,6.0,5,8930,539.0,0,4,2.0,8,112000
RL,1961.0,5.0,7,11782,576.0,0,3,,6,148000
RL,1965.0,5.0,8,8450,336.0,0,3,1.0,5,138500
RL,1967.0,5.0,5,9819,280.0,0,3,1.0,5,122000
RL,,5.0,5,7500,308.0,0,3,1.0,5,133000
RL,1962.0,5.0,8,6897,260.0,0,3,1.0,6,127000
RL,1974.0,6.0,6,15410,461.0,0,3,2.0,7,169000
RL,1992.0,7.0,5,10186,564.0,0,3,2.0,8,190000
RL,1993.0,8.0,5,13143,762.0,0,4,2.0,9,362500
RL,,8.0,5,11134,713.0,0,4,,7,285000
FV,,7.0,5,4835,506.0,0,2,2.0,6,260000
FV,2004.0,7.0,5,3515,588.0,0,2,2.0,3,190000
FV,2004.0,7.0,5,3215,480.0,0,2,2.0,4,155000
FV,2004.0,7.0,5,3182,480.0,0,2,2.0,4,151000
FV,,7.0,5,2544,480.0,0,2,2.0,4,149500
FV,,6.0,5,2544,480.0,0,2,2.0,4,152000
FV,2009.0,7.0,5,4403,484.0,0,2,2.0,7,222000
FV,2000.0,6.0,5,2117,440.0,0,3,2.0,5,177500
FV,2000.0,6.0,5,2980,440.0,0,2,,5,177000
FV,1999.0,7.0,5,2572,484.0,0,3,2.0,6,155000
FV,2003.0,7.0,5,2403,496.0,0,2,2.0,4,147110
FV,2010.0,8.0,5,12853,852.0,0,1,,6,267916
FV,2000.0,8.0,5,7379,592.0,0,3,2.0,7,254000
RL,1980.0,8.0,5,4420,484.0,0,1,1.0,3,155000
RL,,8.0,6,3880,484.0,0,1,1.0,4,206000
RL,1976.0,6.0,8,13517,475.0,0,3,2.0,6,130500
FV,2002.0,7.0,5,8000,596.0,0,3,2.0,6,230000
RL,,6.0,6,10456,535.0,0,4,,8,218500
RL,1993.0,6.0,5,10791,660.0,0,4,2.0,9,243500
RL,,6.0,7,10603,480.0,0,3,2.0,6,205000
RL,,6.0,5,18837,678.0,0,3,3.0,7,212500
RL,1988.0,,5,10421,496.0,0,3,2.0,7,196500
RL,1972.0,6.0,7,9360,676.0,0,3,,5,197500
RL,,6.0,6,9600,441.0,0,4,1.0,7,171000
RL,1966.0,5.0,5,9600,490.0,0,3,1.0,6,142250
RL,,6.0,5,9790,528.0,0,3,1.0,6,143000
RL,1959.0,,5,9320,0.0,0,3,1.0,6,128950
RL,1966.0,5.0,5,9900,504.0,0,3,,6,159000
RL,1967.0,5.0,6,9680,517.0,0,3,2.0,6,178900
RL,,6.0,5,10600,480.0,0,3,2.0,8,136300
RL,1964.0,5.0,7,14112,484.0,0,3,1.0,6,180500
RL,1963.0,6.0,7,8800,480.0,0,3,,6,137500
RL,1962.0,5.0,6,13260,0.0,0,6,2.0,10,84900
RL,,5.0,6,9717,240.0,0,2,1.0,5,142125
RL,1952.0,5.0,7,9724,400.0,0,3,2.0,7,197600
RL,1949.0,6.0,6,17360,470.0,0,3,,6,172500
RL,1958.0,5.0,7,7207,0.0,0,2,1.0,4,116500
RL,1940.0,3.0,2,5350,0.0,0,3,1.0,6,76500
RL,1954.0,5.0,5,9920,280.0,0,3,1.0,6,128000
RL,1955.0,6.0,6,9600,364.0,0,3,1.0,7,153000
RL,1954.0,5.0,6,7800,244.0,0,2,1.0,7,132000
RL,1966.0,6.0,8,11380,315.0,0,2,1.0,5,178000
RL,1960.0,5.0,5,11600,480.0,0,5,2.0,12,154300
RL,1970.0,7.0,5,19900,576.0,0,3,2.0,7,180000
RL,,6.0,6,16492,578.0,0,2,,6,190000
RL,1958.0,5.0,5,8267,576.0,0,4,2.0,8,135000
RL,2003.0,7.0,5,8197,620.0,0,3,2.0,7,214000
RL,1959.0,5.0,5,8050,308.0,0,3,,6,136000
RL,,5.0,5,10552,447.0,0,4,1.0,6,165500
RL,1957.0,5.0,6,8400,294.0,0,3,1.0,5,145000
RL,1959.0,6.0,6,8760,312.0,0,3,1.0,6,148000
RL,1959.0,5.0,5,12160,531.0,0,3,1.0,6,142000
RL,1960.0,5.0,5,9300,461.0,0,3,1.0,6,167500
RL,1959.0,5.0,5,10725,312.0,0,3,,6,108538
RL,1959.0,6.0,5,10032,440.0,0,3,1.0,6,159500
RL,1956.0,4.0,5,8382,263.0,0,3,1.0,5,108000
RL,,5.0,7,10950,318.0,0,2,1.0,4,135000
RL,1955.0,5.0,6,10895,305.0,0,3,1.0,5,122500
RL,1958.0,5.0,5,13587,264.0,0,2,1.0,5,119000
RL,1953.0,5.0,7,7922,246.0,0,3,1.0,5,109000
RL,1920.0,4.0,7,7898,676.0,0,2,1.0,4,105000
RL,1955.0,5.0,7,7200,392.0,0,2,1.0,5,107500
RL,1954.0,5.0,7,10200,490.0,0,3,1.0,6,144900
RL,1956.0,5.0,7,5868,308.0,0,2,,4,129000
RL,1948.0,6.0,5,17503,330.0,0,3,1.0,6,97500
RL,1980.0,6.0,5,6979,576.0,0,0,0.0,4,144000
RL,1959.0,5.0,7,9830,576.0,0,3,1.0,7,162000
RL,1967.0,7.0,7,11275,564.0,0,5,2.0,11,242000
RL,1948.0,6.0,8,8064,280.0,0,3,,5,132000
RL,1959.0,5.0,7,7500,305.0,0,3,,6,154000
RL,1952.0,5.0,4,8520,720.0,0,4,,6,166000
RL,1951.0,5.0,7,7200,576.0,0,3,1.0,5,134800
RL,,6.0,6,10000,440.0,0,3,1.0,5,160000
RL,1960.0,5.0,6,7635,484.0,0,3,1.0,6,148000
RL,1963.0,6.0,7,9760,440.0,0,2,1.0,7,192000
RL,1966.0,6.0,5,7700,442.0,0,4,1.0,7,155000
RM,1900.0,4.0,5,4800,240.0,0,3,,9,80400
RM,,4.0,7,8800,0.0,0,3,,7,96500
RM,1920.0,5.0,7,4485,0.0,0,2,1.0,5,109500
RM,1927.0,5.0,6,8960,360.0,0,2,,5,115000
RM,1957.0,5.0,7,5805,551.0,0,3,1.0,6,143000
RM,,3.0,6,5790,379.0,0,3,2.0,8,107400
RM,,4.0,6,4608,220.0,0,2,1.0,4,80000
RM,1940.0,5.0,7,7200,240.0,0,2,1.0,4,119000
RM,1929.0,5.0,7,5500,484.0,0,3,,6,130000
RM,1938.0,6.0,7,6900,240.0,0,3,1.0,6,119000
RM,,5.0,7,11851,240.0,0,3,,7,129000
RM,1920.0,5.0,6,8239,315.0,0,3,1.0,6,100000
RM,1923.0,2.0,2,9656,780.0,0,2,1.0,5,12789
RM,1928.0,6.0,8,8520,484.0,0,2,1.0,5,105900
RM,,8.0,9,9600,288.0,0,3,2.0,7,150000
RM,,5.0,6,10800,416.0,0,4,2.0,7,139000
RM,1890.0,8.0,9,9000,624.0,0,3,3.0,7,240000
RM,1910.0,5.0,3,9045,0.0,0,4,2.0,12,76500
RM,1957.0,6.0,7,7407,923.0,0,2,,6,149700
RM,1910.0,4.0,7,7740,528.0,0,3,,6,125500
RM,1885.0,,6,11340,560.0,0,4,2.0,11,122500
RM,1922.0,6.0,7,10560,624.0,0,2,1.0,6,140750
RM,1950.0,5.0,6,5830,363.0,0,3,1.0,7,128500
RL,1922.0,7.0,7,7793,315.0,0,3,,8,209500
RM,1925.0,4.0,7,5000,200.0,0,2,1.0,4,87000
RM,1939.0,,7,6000,240.0,0,2,,5,134000
RM,1940.0,6.0,6,6000,576.0,0,3,1.0,6,128000
RM,1942.0,5.0,6,6360,240.0,0,3,1.0,7,132000
RM,1948.0,6.0,7,6000,312.0,0,3,1.0,6,139900
RM,1936.0,5.0,7,6240,624.0,0,2,1.0,5,123900
RM,1930.0,5.0,5,6240,480.0,0,4,,7,138400
RM,1923.0,6.0,5,6120,288.0,0,2,1.0,5,109500
RM,1921.0,7.0,6,10300,480.0,0,3,2.0,9,140000
RM,1915.0,4.0,5,8094,572.0,0,4,1.0,9,149500
RM,1912.0,6.0,8,12900,0.0,0,3,1.0,7,159900
RM,1920.0,6.0,8,3068,180.0,0,3,,6,122000
RM,1963.0,5.0,5,8472,516.0,0,2,1.0,5,110000
RM,1930.0,4.0,5,5600,0.0,0,3,2.0,7,55000
RM,1900.0,5.0,9,7630,672.0,0,4,2.0,8,140000
RL,1940.0,7.0,7,24090,349.0,0,4,2.0,10,244400
RL,1959.0,5.0,5,15263,365.0,0,3,2.0,8,173000
RL,1917.0,5.0,3,10632,180.0,0,3,1.0,6,107500
RL,1915.0,5.0,4,9900,0.0,0,3,1.0,6,100000
RL,1940.0,6.0,5,6001,231.0,0,3,1.0,5,95000
C (all),1907.0,4.0,1,6449,0.0,0,4,,7,93369
RH,1910.0,5.0,7,6048,450.0,0,2,,7,114900
RL,1875.0,5.0,8,6342,0.0,0,2,1.0,6,94000
RL,1967.0,,3,10773,0.0,0,4,2.0,8,136000
RL,1968.0,,5,10778,0.0,0,4,2.0,8,136500
RL,1965.0,,4,11625,504.0,0,3,1.0,6,131500
RL,,5.0,6,11341,528.0,0,3,,5,121500
RL,1967.0,5.0,5,8521,336.0,0,3,1.0,5,125000
RL,1968.0,5.0,8,8246,270.0,0,3,1.0,6,154000
RL,,5.0,7,7800,416.0,0,3,1.0,5,137900
RL,1969.0,6.0,7,9364,299.0,0,4,,7,158000
RL,1968.0,5.0,5,7832,280.0,0,2,1.0,4,137250
RL,1978.0,5.0,5,7424,591.0,0,3,,5,160250
RL,1968.0,5.0,5,11227,480.0,0,4,1.0,7,163000
RL,,6.0,5,11616,440.0,0,3,2.0,6,158900
RL,1996.0,7.0,5,14000,533.0,0,3,2.0,7,328000
RL,1977.0,7.0,7,20062,690.0,0,1,1.0,4,270000
RL,1927.0,4.0,4,9259,440.0,0,2,1.0,4,85000
RL,1950.0,4.0,7,9600,436.0,0,2,,4,128000
RL,1979.0,7.0,6,23595,586.0,0,0,0.0,4,260000
RL,,6.0,5,17082,522.0,0,4,2.0,8,230000
RL,1938.0,3.0,4,18600,480.0,0,4,2.0,8,124000
RL,1920.0,5.0,5,10625,366.0,0,2,,5,83000
RL,,6.0,7,11479,467.0,0,3,1.0,6,144500
RL,,5.0,6,9571,596.0,0,3,1.0,6,129000
RL,,4.0,6,9350,209.0,0,3,1.0,8,127000
RL,1954.0,5.0,7,9525,366.0,0,3,,5,128000
RL,2009.0,6.0,5,10420,460.0,0,3,2.0,6,186000
RL,2009.0,7.0,5,17485,572.0,0,1,1.0,5,308030
RL,1964.0,5.0,3,11200,504.0,0,3,,5,114000
RL,,4.0,7,11100,308.0,0,2,1.0,6,84900
RL,,6.0,5,9206,476.0,0,3,2.0,7,178000
RL,1987.0,7.0,5,11980,528.0,0,1,,4,270000
RL,1993.0,6.0,7,12361,1017.0,0,3,2.0,8,218000
RL,1993.0,7.0,5,9938,574.0,0,3,2.0,8,236000
RL,,6.0,6,9069,564.0,0,2,1.0,5,147000
RL,2008.0,8.0,5,10475,776.0,0,3,2.0,7,245350
RL,2006.0,7.0,5,6762,632.0,0,2,2.0,6,206000
RL,,7.0,5,10402,740.0,0,3,2.0,6,198900
RL,2010.0,7.0,5,7360,615.0,0,2,2.0,6,187000
RL,1990.0,7.0,5,12376,594.0,0,5,3.0,11,320000
RL,1900.0,6.0,8,14235,484.0,0,3,2.0,6,138500
RL,1971.0,6.0,7,8816,440.0,0,3,1.0,6,155000
RL,1996.0,5.0,5,11105,580.0,0,2,1.0,4,159000
RL,1997.0,7.0,5,9337,513.0,0,3,,8,191000
RL,,6.0,5,8750,523.0,0,3,2.0,7,200500
RL,1977.0,5.0,8,15240,308.0,0,3,1.0,5,150000
RL,,6.0,7,10900,299.0,0,3,,6,161750
RL,1976.0,5.0,6,10650,308.0,0,3,1.0,5,128200
RL,1972.0,5.0,6,7480,484.0,0,3,1.0,5,127000
RL,2003.0,8.0,5,10389,850.0,0,3,2.0,8,318000
RL,2001.0,8.0,5,11423,670.0,0,3,,6,272000
RL,2003.0,7.0,6,9548,613.0,0,3,2.0,7,237000
RL,,7.0,5,9375,621.0,0,4,2.0,9,240000
RL,1998.0,7.0,5,12137,598.0,0,3,2.0,6,224900
RM,2003.0,6.0,5,4435,420.0,0,1,1.0,4,143750
RM,2004.0,6.0,5,4426,420.0,0,1,1.0,3,143000
RL,,8.0,5,10635,502.0,0,3,2.0,8,232000
RL,2004.0,7.0,5,8400,606.0,0,3,,7,213000
RL,2004.0,7.0,5,8773,494.0,0,3,2.0,6,185500
RL,1945.0,3.0,6,8777,240.0,0,2,,5,84900
RL,1954.0,5.0,6,8842,319.0,0,3,,6,155891
RL,1965.0,5.0,5,9825,0.0,0,4,2.0,8,100000
RL,1968.0,5.0,6,10044,336.0,0,3,,6,144000
RL,1948.0,4.0,5,11792,480.0,0,2,1.0,5,64000
RL,1975.0,,6,6305,352.0,0,3,1.0,5,125200
RL,1976.0,6.0,5,7819,672.0,0,3,1.0,6,107000
RL,1958.0,4.0,5,6410,0.0,0,3,,5,90000
RM,,4.0,5,8546,440.0,0,2,2.0,5,140000
RL,1945.0,6.0,4,8741,220.0,0,3,1.0,7,113000
RL,1941.0,4.0,4,12180,280.0,0,2,1.0,5,80000
RL,1957.0,,6,8562,364.0,0,4,1.0,7,144500
RL,1924.0,5.0,6,4853,260.0,0,2,2.0,5,104000
RL,1915.0,6.0,4,6858,216.0,0,4,1.0,6,128000
RL,1914.0,3.0,3,8212,200.0,0,2,1.0,5,58500
RL,1924.0,5.0,6,5000,308.0,0,3,2.0,6,127000
RL,1939.0,6.0,6,7890,399.0,0,2,1.0,4,126000
RH,,4.0,6,7200,0.0,0,6,3.0,10,160000
RL,1931.0,5.0,2,9839,0.0,0,3,1.0,7,100000
RL,1919.0,6.0,7,9638,336.0,0,4,2.0,10,169000
RL,,7.0,6,10452,312.0,0,4,1.0,8,257500
RL,,5.0,6,15600,484.0,0,5,2.0,11,215000
